Nº OCORRÊNCIA;DATA DO FATO;HORA DO FATO;TIPO OBJETO;ACAO OBJETO;GRUPO DE INCIDENTE;TIPO DE INCIDENTE;UF;MUNICIPIO;BAIRRO;LOGRADOURO;TIPO DE LOCAL;TIPO;MARCA;MODELO;COR VEICULO
53325508;01/01/2024;01:04:00;VEICULO;FURTADO;CRIMES CONTRA PATRIMONIO;CRIMES CONTRA PATRIMONIO: FURTO: DE VEICULO;ES;ITAPEMIRIM;ITAIPAVA;AVENIDA ITAPEMIRIM;VIA PUBLICA;AUTOMOVEL;VOLKSWAGEN;PARATI CL 1.6 MI;BRANCO
53325948;01/01/2024;01:49:00;APARELHOS TELEFONICOS;FURTADO;CRIMES CONTRA PATRIMONIO;CRIMES CONTRA PATRIMONIO: FURTO;ES;IBATIBA;ALTO CRICIUMA;ZONA RURAL;RESIDENCIA;Sem Informacao (Tipo);MOTOROLA;MOTO G30;Sem Informacao (Cor)
53326103;01/01/2024;02:07:00;VEICULO;FURTADO;CRIMES CONTRA PATRIMONIO;CRIMES CONTRA PATRIMONIO: FURTO: DE VEICULO;ES;BREJETUBA;BAIRRO NOBRE;RUA SEBASTIAO FERREIRA BRUM;VIA PUBLICA;MOTOCICLETA;HONDA;CG 125 FAN KS;PRETO
53327441;01/01/2024;00:30:00;APARELHOS TELEFONICOS;FURTADO;CRIMES CONTRA PATRIMONIO;CRIMES CONTRA PATRIMONIO: FURTO;ES;GUARAPARI;PRAIA DO MORRO;BEIRA MAR;VIA PUBLICA;Sem Informacao (Tipo);SAMSUNG;Sem Informacao (Modelo);Sem Informacao (Cor)
53327910;01/01/2024;Indeterminada;VEICULO;FURTADO;CRIMES CONTRA PATRIMONIO;CRIMES CONTRA PATRIMONIO: FURTO: DE VEICULO;ES;VITORIA;MORADA DE CAMBURI;AV PRESIDENTE COSTA E SILVA;VEICULO;AUTOMOVEL;VOLKSWAGEN;GOL 1.0 GIV;PRATA
53328096;01/01/2024;00:30:00;APARELHOS TELEFONICOS;FURTADO;OCORRENCIAS DIVERSAS/ASSISTENCIAIS;OCORRENCIAS DIVERSAS/ASSISTENCIAIS: OPERACOES POLICIAIS: DA POLICIA CIVIL;ES;VITORIA;JARDIM DA PENHA;AV DANTE MICHELINE;VIA PUBLICA;Sem Informacao (Tipo);MOTOROLA;G60;Sem Informacao (Cor)
53328251;01/01/2024;02:10:00;APARELHOS TELEFONICOS;ROUBADO;CRIMES CONTRA PATRIMONIO;CRIMES CONTRA PATRIMONIO: FURTO: A PESSOA EM VIA PUBLICA;ES;GUARAPARI;PRAIA DO MORRO;AV BEIRA MAR;OUTRO LOCAL;Sem Informacao (Tipo);APPLE;HIPHONE XR;Sem Informacao (Cor)
53328313;01/01/2024;Indeterminada;VEICULO;FURTADO;CRIMES CONTRA PATRIMONIO;CRIMES CONTRA PATRIMONIO: FURTO: DE VEICULO;ES;AGUIA BRANCA;APARECIDA;RUA FRANSCISCO ALVES COUTO;VIA PUBLICA;MOTOCICLETA;HONDA;CG 125 TITAN ES;AZUL
53328506;01/01/2024;00:30:00;APARELHOS TELEFONICOS;ROUBADO;CRIMES CONTRA PATRIMONIO;CRIMES CONTRA PATRIMONIO: ROUBO: A PESSOA EM VIA PUBLICA;ES;GUARAPARI;PRAIA DO MORRO;AV. BEIRA MAR;VIA PUBLICA;Sem Informacao (Tipo);OUTROS;REDMI NOTE 12;Sem Informacao (Cor)
53328663;01/01/2024;02:00:00;APARELHOS TELEFONICOS;FURTADO;CRIMES CONTRA PATRIMONIO;CRIMES CONTRA PATRIMONIO: FURTO: A PESSOA EM VIA PUBLICA;ES;VITORIA;JARDIM DA PENHA;AV DANTE MICHELINE;VIA PUBLICA;Sem Informacao (Tipo);XIAOMI;REDMI;Sem Informacao (Cor)
53328710;01/01/2024;00:20:00;APARELHOS TELEFONICOS;ROUBADO;CRIMES CONTRA PATRIMONIO;CRIMES CONTRA PATRIMONIO: ROUBO: A PESSOA EM VIA PUBLICA;ES;VILA VELHA;PRAIA DA COSTA;RUA PERNAMBUCO;VIA PUBLICA;Sem Informacao (Tipo);MOTOROLA;G30;Sem Informacao (Cor)
53329028;01/01/2024;11:25:00;APARELHOS TELEFONICOS;FURTADO;CRIMES CONTRA PATRIMONIO;CRIMES CONTRA PATRIMONIO: FURTO: EM ESTABELECIMENTO COMERCIAL;ES;NOVA VENECIA;BEIRA RIO;AV SAO MATEUS;COMERCIO;Sem Informacao (Tipo);OUTROS;Sem Informacao (Modelo);Sem Informacao (Cor)
